metric,benchmark,defensive_overlay,bull_aware_overlay,regime_momentum,vol_managed
n_days,4002.0,4002.0,4002.0,4002.0,4002.0
cagr,0.11873723577869777,0.07141780300544487,0.08823285928627977,0.09446348460217124,0.08685862750478979
annualised_vol,0.1690664342655638,0.08553295024824359,0.09692084846569844,0.10763932374047325,0.09753464220824029
sharpe,0.7023111139387335,0.8349741567216832,0.9103599553970737,0.8775926986491482,0.8905413044869043
sortino,0.653417847018158,0.791445718250113,0.8798873319632639,0.8307423245016385,0.842885243145121
max_drawdown,-0.3392495902426057,-0.132163683435517,-0.16051483012441314,-0.18681535574383112,-0.16476377830141964
calmar,0.34999964390166505,0.5403738844815853,0.5496866502484009,0.5056516057047443,0.5271706463655513
total_return,4.940849204440885,1.990716210332221,2.8298143155917557,3.1932775083384817,2.753726257236505
hit_rate,0.5282358820589705,0.500999500249875,0.526736631684158,0.5259870064967517,0.526736631684158
worst_daily_loss,-0.11984050283657066,-0.059108939410867645,-0.059108939410867645,-0.06518209575343795,-0.04392604855444189
best_daily_gain,0.09515390034057347,0.04707387044614342,0.04707387044614342,0.051653602854573474,0.0356245394250683
avg_equity_exposure,1.0,0.542103948025987,0.6894868094585322,0.7709846895349134,0.7277422296960109
total_transaction_cost,0.0,0.10375000000000001,0.0833793309380604,0.07963418229990644,0.08244450427663921
n_weight_changes,0.0,324.0,2639.0,1721.0,1759.0
n_regime_switches,0.0,325.0,0.0,0.0,0.0
