strategy,cagr,sharpe,calmar,max_drawdown,worst_daily_loss,avg_equity_exposure,total_transaction_cost,cagr_rank,sharpe_rank,calmar_rank,max_drawdown_rank,worst_daily_loss_rank,avg_equity_exposure_rank,total_transaction_cost_rank,overall_rank
bull_aware_overlay,0.0882328592862797,0.9103599553970736,0.5496866502484009,-0.1605148301244131,-0.0591089394108676,0.6894868094585322,0.0833793309380604,3.0,1.0,1.0,4.0,3.5,2.0,4.0,1.0
benchmark,0.1187372357786977,0.7023111139387335,0.349999643901665,-0.3392495902426057,-0.1198405028365706,1.0,0.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,2.5
regime_momentum,0.0944634846021712,0.8775926986491482,0.5056516057047443,-0.1868153557438311,-0.0651820957534379,0.7709846895349134,0.0796341822999064,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.5
vol_managed,0.0868586275047897,0.8905413044869043,0.5271706463655513,-0.1647637783014196,-0.0439260485544418,0.7277422296960109,0.0824445042766392,4.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0
defensive_overlay,0.0714178030054448,0.8349741567216832,0.5403738844815853,-0.132163683435517,-0.0591089394108676,0.542103948025987,0.10375,5.0,4.0,2.0,5.0,3.5,1.0,5.0,5.0
