period,start,end,coverage,n_days,benchmark_total_ret,defensive_total_ret,dominant_regime,bull_aware_total_ret,regime_momentum_total_ret,vol_managed_total_ret
2008 GFC,2008-09-01,2009-03-31,outside backtest window,0,,,n/a,,,
2011 Eurozone crisis,2011-07-01,2011-10-31,full,87,-0.050990428882965566,-0.03139216479760465,transition,-0.05575234720234035,-0.0398451657243839,-0.06486020197197861
2015-16 China/oil shock,2015-08-01,2016-02-29,full,149,-0.08156989124648228,-0.030184168324981275,stress,-0.053425288969159435,-0.047737878870555916,-0.05853156073689669
2018 Q4 selloff,2018-09-28,2018-12-31,full,67,-0.13972203157172325,-0.06925289633491483,stress,-0.08109182022019112,-0.0892973059788631,-0.08170348723271748
2020 COVID crash,2020-02-15,2020-04-30,full,54,-0.13837510650383422,-0.06765143452068834,stress,-0.05868984379916975,-0.09334664460326458,-0.05555375356761605
2022 rates/inflation shock,2022-01-01,2022-12-31,full,259,-0.1944282423240402,-0.12449775619792502,stress,-0.14154865995198485,-0.16139841832216373,-0.14605528383259925
2023 regional banking stress,2023-03-01,2023-04-30,full,43,0.05020717101368888,0.03320313953338405,transition,0.03449283679727455,0.04372500238449284,0.03300501810750789
2025 tariff correction,2025-01-20,2025-04-23,full,67,-0.10352429519098982,-0.02212283485504718,transition,-0.05663721107259456,-0.056174054148051544,-0.060321005186013577
