subperiod,strategy,n_days,total_return,cagr,sharpe,max_drawdown
2023 recovery,benchmark,193,0.15645979764869522,0.20900894259221015,1.815831061120967,-0.10276620410724635
2023 recovery,defensive_overlay,193,-0.01258430071008676,-0.016399616622323254,-0.2753562797509926,-0.06055428477860092
2023 recovery,bull_aware_overlay,193,0.05525507664209739,0.07274823967611588,0.9959693056755378,-0.06326810642245762
2023 recovery,regime_momentum,193,0.08714774731503683,0.11527500066489904,1.368159406324208,-0.06968418511197816
2023 recovery,vol_managed,193,0.07094769054948191,0.0936249253105006,1.1015143546250181,-0.07267943188156167
2024 bull market,benchmark,260,0.23309006819950118,0.225166066986213,1.80781386931575,-0.0848514257481644
2024 bull market,defensive_overlay,260,0.0755477578343815,0.07314023414322257,1.2432816104165478,-0.03716229757504508
2024 bull market,bull_aware_overlay,260,0.1295851224739757,0.12535796195990834,1.5924212416503456,-0.0541960538841989
2024 bull market,regime_momentum,260,0.17735439159481503,0.17145456159240924,1.7322998254810944,-0.06790920281978197
2024 bull market,vol_managed,260,0.1357220108022812,0.13128326960668923,1.4711671394889614,-0.06105321354416726
2025 tariff corr.,benchmark,72,-0.07130636054069961,-0.22811313823059964,-0.771968746165694,-0.1890220779115087
2025 tariff corr.,defensive_overlay,72,0.0034214633784945825,0.012026425029226573,0.32459222718779185,-0.016035300955145604
2025 tariff corr.,bull_aware_overlay,72,-0.016906144021677227,-0.057931599402707645,-0.6708319464932405,-0.06343791083911487
2025 tariff corr.,regime_momentum,72,-0.01803234501125317,-0.061703406056603516,-0.6534309043410681,-0.06856897761927883
2025 tariff corr.,vol_managed,72,-0.02283632479814135,-0.07767156082643079,-0.8325119136857922,-0.07096988327917231
2026 latest,benchmark,80,0.03840479146884923,0.126043201148188,0.8860953128771316,-0.0909752672455778
2026 latest,defensive_overlay,80,-0.014029221859662933,-0.04352915263955559,-0.4920212695028234,-0.06197668439999071
2026 latest,bull_aware_overlay,80,-0.002656636954715741,-0.008344531539298039,-0.08331949553629656,-0.0678480337058659
2026 latest,regime_momentum,80,0.002377627543987515,0.007508687065377995,0.06940333413260964,-0.07094500069800103
2026 latest,vol_managed,80,-0.009930111195306734,-0.03094721250670862,-0.28899736799085923,-0.07323682814159704
