strategy,tc_bps,cagr,sharpe,sortino,calmar,max_drawdown,total_return
benchmark,0,0.11873723577870399,0.7023111139387721,0.6534178470181938,0.3499996439016837,-0.33924959024260537,4.940849204441414
benchmark,5,0.11873723577870399,0.7023111139387721,0.6534178470181938,0.3499996439016837,-0.33924959024260537,4.940849204441414
benchmark,10,0.11873723577870399,0.7023111139387721,0.6534178470181938,0.3499996439016837,-0.33924959024260537,4.940849204441414
benchmark,25,0.11873723577870399,0.7023111139387721,0.6534178470181938,0.3499996439016837,-0.33924959024260537,4.940849204441414
benchmark,50,0.11873723577870399,0.7023111139387721,0.6534178470181938,0.3499996439016837,-0.33924959024260537,4.940849204441414
defensive_overlay,0,0.0784359986361054,0.9167409169419783,0.8568007055368044,0.6168126204275541,-0.1271634140393174,2.317461789427705
defensive_overlay,5,0.07141780300544776,0.8349741567217217,0.7914457182501491,0.5403738844816348,-0.13216368343551022,1.9907162103323484
defensive_overlay,10,0.06444278958519933,0.7534376156633441,0.7148629039021945,0.46880240578888316,-0.13746258293354408,1.6960524887953747
defensive_overlay,25,0.043774343684476635,0.5109039260055961,0.4828308203260147,0.2794365012504759,-0.1566522035903929,0.9746530814487726
defensive_overlay,50,0.01016745840646549,0.11763620135599027,0.10998948445522154,0.05324758557644369,-0.19094684381264215,0.1742781055017144
bull_aware_overlay,0,0.09395870094722869,0.9693523290663619,0.9083435541120244,0.5970686264391426,-0.1573666690671539,3.162668840636454
bull_aware_overlay,5,0.08823285928627889,0.9103599553970694,0.8798873319632595,0.5496866502483969,-0.1605148301244127,2.8298143155917055
bull_aware_overlay,10,0.08253565593304657,0.8515510650407324,0.8219690215654881,0.5043371699103877,-0.16365174105194702,2.5235066358923106
bull_aware_overlay,25,0.06561451178709166,0.676421053278432,0.6532423705426351,0.3792848148193056,-0.172995356585396,1.7435715438388475
bull_aware_overlay,50,0.03797273364412557,0.39000839567181195,0.3754206985720339,0.1975557639204087,-0.19221273472650502,0.8073748123815503
regime_momentum,0,0.09996228463982537,0.9285837420167943,0.8599999345662321,0.5380262139341202,-0.18579445025343222,3.5406578945542595
regime_momentum,5,0.09446348460217191,0.8775926986491589,0.8307423245016482,0.5056516057047491,-0.18681535574383068,3.19327750833852
regime_momentum,10,0.08899100670033744,0.8267664419421875,0.7823151749561834,0.473771540065958,-0.18783527327949712,2.872407363593321
regime_momentum,25,0.07273030332402097,0.6753928863621607,0.6372563941340372,0.37917873437236194,-0.19181007986750176,2.0494320332204476
regime_momentum,50,0.04614442907886196,0.4274727343821234,0.4023097510279847,0.21034735518862133,-0.219372518553816,1.0470761959628891
vol_managed,0,0.09251377978620856,0.9485143149073836,0.8809453065934537,0.5713094890865962,-0.16193286047833488,3.0762061568367898
vol_managed,5,0.08685862750479045,0.8905413044869165,0.8428852431451317,0.5271706463655642,-0.16476377830141686,2.753726257236533
vol_managed,10,0.08123146329326292,0.8327595967463879,0.7876950372991026,0.4847166264331285,-0.16758546924832918,2.4566934117425054
vol_managed,25,0.06451657891952167,0.6607447492515535,0.62442384934637,0.36658090571054797,-0.17599547034362972,1.6990221039646527
vol_managed,50,0.03720596714432145,0.37955552010201177,0.3582695503595673,0.19154026266676405,-0.1942461946449936,0.7862877297178077
