date,benchmark_ret,overlay_ret,equity_weight,defensive_weight,transaction_cost,regime_label,regime_state,bull_aware_equity_weight,bull_aware_defensive_weight,bull_aware_transaction_cost,bull_aware_ret,regime_momentum_equity_weight,regime_momentum_defensive_weight,regime_momentum_transaction_cost,regime_momentum_ret,vol_managed_equity_weight,vol_managed_defensive_weight,vol_managed_transaction_cost,vol_managed_ret,bull_period,rc_def_equity_weight,rc_def_ret,rc_def_stop_active,rc_bull_equity_weight,rc_bull_ret,rc_bull_stop_active,rc_mom_equity_weight,rc_mom_ret,rc_mom_stop_active,rc_vol_equity_weight,rc_vol_ret,rc_vol_stop_active
2010-12-02,0.0128184931222898,0.0123184931222898,1.0,0.0,0.0005,risk_on,0,1.0,0.0,0.0005,0.0123184931222898,1.0,0.0,0.0005,0.0123184931222898,0.9524773070553552,0.0475226929446448,0.0004762386535276,0.0117330851560985,True,1.0,0.0128184931222898,False,1.0,0.0128184931222898,False,1.0,0.0128184931222898,False,0.9524773070553552,0.0122093238096261,False
2010-12-03,0.0026032925920771,0.0017059408475493,0.5,0.5,0.00025,transition,2,0.75,0.25,0.000125,0.0021546167198132,0.95,0.05,2.500000000000002e-05,0.0025135574176243,0.7513917041705098,0.2486082958294901,0.0001005428014424,0.0021808757626161,True,0.9,0.00237382224317154,False,0.9,0.0023738222431715405,False,0.95,0.0024885574176243,False,0.8524773070553552,0.0023122944468067954,False
2010-12-06,-0.0012982665284028,-0.0003521153243178,0.5,0.5,0.0,transition,2,0.7500000000000033,0.2499999999999966,1.665334536937735e-18,-0.0008251909263603,0.9500000000000032,0.0499999999999967,1.665334536937735e-18,-0.0012036514079943,0.7530620243234136,0.2469379756765863,8.351600764519018e-07,-0.0008318203624378,True,0.8,-0.0010198060467688,False,0.8,-0.0010198060467687938,False,0.9500000000000032,-0.0012036514079943016,False,0.7530620243234136,-0.0009304004850932896,False
2010-12-07,0.0005150761985741,-0.0006329867166711,0.5,0.5,0.0,transition,2,0.7500000000000017,0.2499999999999983,8.326672684688675e-19,-5.895525904850128e-05,0.9500000000000016,0.0499999999999982,7.771561172376096e-19,0.0004002699070496,0.7536229463463653,0.2463770536536347,2.804610114758299e-07,-5.091697937160903e-05,True,0.7000000000000001,-0.00027376155057301987,False,0.7500000000000017,-0.00010895525904849883,False,0.9500000000000016,0.0004002699070495992,False,0.7536229463463653,-5.119744038308486e-05,False
2010-12-08,0.0037017364657814,0.0010777030134307,0.5,0.5,0.0,transition,2,0.749999999999627,0.250000000000373,1.873501354054952e-16,0.0023897197396039,0.9499999999996268,0.050000000000373,1.874056465567264e-16,0.0034393331205442,0.7675971430169012,0.2324028569830988,6.9870983352679495e-06,0.0024750836251551,True,0.6000000000000001,0.0015025097039008406,False,0.749999999999627,0.0023897197396037127,False,0.9499999999996268,0.003439333120544013,False,0.7675971430169012,0.002468096526819832,False
2010-12-09,0.0038427720063829,0.0018618196462699,0.5,0.5,0.0,transition,2,0.7499999999998516,0.2500000000001484,1.1229905894083462e-16,0.0028522958263257,0.9499999999998516,0.0500000000001483,1.1235457009206584e-16,0.0036446767703709,0.7686062943689395,0.2313937056310605,5.045756760191367e-07,0.0029255076161366,True,0.5000000000000001,0.0017618196462699004,False,0.7499999999998516,0.0028522958263255877,False,0.9499999999998516,0.0036446767703707875,False,0.7686062943689395,0.002925003040460581,False
2010-12-10,0.0060016220600163,0.0028220906678015,0.5,0.5,0.0,transition,2,0.7499999999998237,0.2500000000001763,1.3933298959045718e-17,0.0044118563639077,0.9499999999998237,0.0500000000001763,1.3988810110276973e-17,0.0056836689207936,0.7714583104334334,0.2285416895665666,1.4260080322469617e-06,0.0045468850991706,True,0.5,0.0028220906678015,False,0.7499999999998237,0.004411856363907686,False,0.9499999999998237,0.005683668920793586,False,0.7714583104334334,0.004545459091138354,False
2010-12-13,4.837149306680111e-05,0.0003221595248409,0.5,0.5,0.0,transition,2,0.7499999999999399,0.25000000000006,5.812017533912694e-17,0.0001852655089538,0.94999999999994,0.0500000000000599,5.81756864903582e-17,7.575029624418937e-05,0.8050932468773163,0.1949067531226836,1.681746822194147e-05,0.0001382802974787,True,0.5,0.0003221595248409,False,0.7499999999999399,0.00018526550895374186,False,0.94999999999994,7.575029624413121e-05,False,0.8050932468773163,0.00012146282925675853,False
2010-12-14,0.0009109523886299,0.0002172391484542,0.5,0.5,0.0,transition,2,0.7500000000000019,0.2499999999999981,3.097522238704187e-17,0.000564095768542,0.950000000000002,0.049999999999998,3.097522238704187e-17,0.0008415810646123,0.8065255792392364,0.1934744207607636,7.161661809600428e-07,0.0006418046878148,True,0.5,0.0002172391484542,False,0.7500000000000019,0.0005640957685419691,False,0.950000000000002,0.0008415810646122691,False,0.8065255792392364,0.0006410885216338399,False
2010-12-15,-0.0051224639373705,-0.0027399949289999,0.5,0.5,0.0,transition,2,0.7499999999999756,0.2500000000000244,1.3156142841808104e-17,-0.0039312294331851,0.9499999999999756,0.0500000000000244,1.3211653993039362e-17,-0.0048842170365334,0.9030983662496412,0.0969016337503587,4.828639350520242e-05,-0.0047090200523343,True,0.5,-0.0027399949289999,False,0.7499999999999756,-0.003931229433185113,False,0.9499999999999756,-0.004884217036533413,False,0.9030983662496412,-0.004757306445839503,False
